,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,Continent
178,ALB,Albania,2020-03-09,2,2,0,0,0.695,0.695,0.0,0.0,4.0
179,ALB,Albania,2020-03-10,6,4,0,0,2.085,1.39,0.0,0.0,4.0
180,ALB,Albania,2020-03-11,10,4,0,0,3.475,1.39,0.0,0.0,4.0
181,ALB,Albania,2020-03-12,11,1,1,1,3.822,0.34700000000000003,0.34700000000000003,0.34700000000000003,4.0
182,ALB,Albania,2020-03-13,23,12,1,0,7.992000000000001,4.17,0.34700000000000003,0.0,4.0
183,ALB,Albania,2020-03-14,33,10,1,0,11.467,3.475,0.34700000000000003,0.0,4.0
184,ALB,Albania,2020-03-15,38,5,1,0,13.205,1.7369999999999999,0.34700000000000003,0.0,4.0
185,ALB,Albania,2020-03-16,42,4,1,0,14.594000000000001,1.39,0.34700000000000003,0.0,4.0
186,ALB,Albania,2020-03-17,51,9,1,0,17.722,3.127,0.34700000000000003,0.0,4.0
187,ALB,Albania,2020-03-18,55,4,1,0,19.112000000000002,1.39,0.34700000000000003,0.0,4.0
188,ALB,Albania,2020-03-19,59,4,2,1,20.502,1.39,0.695,0.34700000000000003,4.0
189,ALB,Albania,2020-03-20,70,11,2,0,24.324,3.822,0.695,0.0,4.0
190,ALB,Albania,2020-03-21,70,0,2,0,24.324,0.0,0.695,0.0,4.0
191,ALB,Albania,2020-03-22,76,6,2,0,26.409000000000002,2.085,0.695,0.0,4.0
192,ALB,Albania,2020-03-23,89,13,2,0,30.926,4.5169999999999995,0.695,0.0,4.0
193,ALB,Albania,2020-03-24,100,11,4,2,34.749,3.822,1.39,0.695,4.0
194,ALB,Albania,2020-03-25,123,23,5,1,42.74100000000001,7.992000000000001,1.7369999999999999,0.34700000000000003,4.0
195,ALB,Albania,2020-03-26,146,23,5,0,50.733000000000004,7.992000000000001,1.7369999999999999,0.0,4.0
196,ALB,Albania,2020-03-27,174,28,6,1,60.463,9.73,2.085,0.34700000000000003,4.0
197,ALB,Albania,2020-03-28,186,12,9,3,64.633,4.17,3.127,1.042,4.0
198,ALB,Albania,2020-03-29,197,11,10,1,68.455,3.822,3.475,0.34700000000000003,4.0
199,ALB,Albania,2020-03-30,212,15,10,0,73.667,5.212000000000001,3.475,0.0,4.0
200,ALB,Albania,2020-03-31,223,11,12,2,77.49,3.822,4.17,0.695,4.0
201,ALB,Albania,2020-04-01,243,20,15,3,84.44,6.95,5.212000000000001,1.042,4.0
202,ALB,Albania,2020-04-02,259,16,15,0,89.999,5.56,5.212000000000001,0.0,4.0
203,ALB,Albania,2020-04-03,277,18,16,1,96.25399999999999,6.255,5.56,0.34700000000000003,4.0
204,ALB,Albania,2020-04-04,304,27,17,1,105.63600000000001,9.382,5.907,0.34700000000000003,4.0
205,ALB,Albania,2020-04-05,333,29,19,2,115.713,10.077,6.602,0.695,4.0
206,ALB,Albania,2020-04-06,361,28,21,2,125.443,9.73,7.297000000000001,0.695,4.0
207,ALB,Albania,2020-04-07,377,16,22,1,131.003,5.56,7.645,0.34700000000000003,4.0
208,ALB,Albania,2020-04-08,383,6,22,0,133.088,2.085,7.645,0.0,4.0
209,ALB,Albania,2020-04-09,400,17,22,0,138.995,5.907,7.645,0.0,4.0
210,ALB,Albania,2020-04-10,409,9,23,1,142.122,3.127,7.992000000000001,0.34700000000000003,4.0
211,ALB,Albania,2020-04-11,416,7,23,0,144.555,2.432,7.992000000000001,0.0,4.0
212,ALB,Albania,2020-04-12,433,17,23,0,150.46200000000002,5.907,7.992000000000001,0.0,4.0
213,ALB,Albania,2020-04-13,446,13,23,0,154.97899999999998,4.5169999999999995,7.992000000000001,0.0,4.0
214,ALB,Albania,2020-04-14,467,21,23,0,162.27700000000002,7.297000000000001,7.992000000000001,0.0,4.0
215,ALB,Albania,2020-04-15,475,8,24,1,165.05700000000002,2.78,8.34,0.34700000000000003,4.0
216,ALB,Albania,2020-04-16,494,19,25,1,171.65900000000002,6.602,8.687000000000001,0.34700000000000003,4.0
217,ALB,Albania,2020-04-17,518,24,26,1,179.99900000000002,8.34,9.035,0.34700000000000003,4.0
218,ALB,Albania,2020-04-18,539,21,26,0,187.296,7.297000000000001,9.035,0.0,4.0
219,AND,Andorra,2020-03-03,1,1,0,0,12.942,12.942,0.0,0.0,4.0
220,AND,Andorra,2020-03-14,2,1,0,0,25.885,12.942,0.0,0.0,4.0
221,AND,Andorra,2020-03-16,5,3,0,0,64.712,38.827,0.0,0.0,4.0
222,AND,Andorra,2020-03-17,14,9,0,0,181.195,116.48200000000001,0.0,0.0,4.0
223,AND,Andorra,2020-03-18,14,0,0,0,181.195,0.0,0.0,0.0,4.0
224,AND,Andorra,2020-03-19,53,39,0,0,685.951,504.756,0.0,0.0,4.0
225,AND,Andorra,2020-03-20,75,22,0,0,970.685,284.73400000000004,0.0,0.0,4.0
226,AND,Andorra,2020-03-21,75,0,0,0,970.685,0.0,0.0,0.0,4.0
227,AND,Andorra,2020-03-22,88,13,0,0,1138.937,168.252,0.0,0.0,4.0
228,AND,Andorra,2020-03-23,113,25,0,0,1462.499,323.562,0.0,0.0,4.0
229,AND,Andorra,2020-03-24,133,20,0,0,1721.349,258.849,0.0,0.0,4.0
230,AND,Andorra,2020-03-25,164,31,0,0,2122.565,401.217,0.0,0.0,4.0
231,AND,Andorra,2020-03-26,188,24,0,0,2433.1839999999997,310.619,0.0,0.0,4.0
232,AND,Andorra,2020-03-27,224,36,3,3,2899.113,465.92900000000003,38.827,38.827,4.0
233,AND,Andorra,2020-03-28,267,43,3,0,3455.64,556.526,38.827,0.0,4.0
