"Country","iso_code","Continent"
"Albania","ALB",4
"Andorra","AND",4
"Austria","AUT",4
"Belgium","BEL",4
"Bulgaria","BGR",4
"Bosnia and Herzegovina","BIH",4
"Belarus","BLR",4
"Switzerland","CHE",4
"Czech Republic","CZE",4
"Germany","DEU",4
"Denmark","DNK",4
"Spain","ESP",4
"Estonia","EST",4
"Finland","FIN",4
"France","FRA",4
"Faeroe Islands","FRO",4
"United Kingdom","GBR",4
"Gibraltar","GIB",4
"Greece","GRC",4
"Croatia","HRV",4
"Hungary","HUN",4
"Ireland","IRL",4
"Iceland","ISL",4
"Italy","ITA",4
"Liechtenstein","LIE",4
"Lithuania","LTU",4
"Luxembourg","LUX",4
"Latvia","LVA",4
"Monaco","MCO",4
"Moldova","MDA",4
"Macedonia","MKD",4
"Malta","MLT",4
"Montenegro","MNE",4
"Netherlands","NLD",4
"Norway","NOR",4
"Poland","POL",4
"Portugal","PRT",4
"Romania","ROU",4
"Russia","RUS",4
"San Marino","SMR",4
"Serbia","SRB",4
"Slovakia","SVK",4
"Slovenia","SVN",4
"Sweden","SWE",4
"Turkey","TUR",4
"Ukraine","UKR",4
"Vatican","VAT",4
"Aland Islands","ALA",4
"Guernsey","GGY",4
"Isle of Man","IMN",4
"Jersey","JEY",4
"Svalbard and Jan Mayen","SJM",4
